,attribute_id,attribute_name,attribute_question,group_id,active,attribute_tooltip
26,208,Kasvihuone,"{""fi"":""Onko rakennuksessa kasvihuone?"", ""sv"":""[Svenska]Onko rakennuksessa kasvihuone?"", ""en"":""[English]Onko rakennuksessa kasvihuone?""}",,False,"{""fi"":"""", ""se"":"""", ""en"":"""" }"
27,3,Asumisen yhteistoiminta,"{""fi"":""Onko rakennuksessa asumisen yhteistoiminta?"", ""sv"":""[Svenska]Onko rakennuksessa asumisen yhteistoiminta?"", ""en"":""[English]Onko rakennuksessa asumisen yhteistoiminta?""}",,True,"{""fi"":"""", ""se"":"""", ""en"":"""" }"
28,301,Irtaimistovarasto,"{""fi"":""Onko rakennuksessa irtaimistovarasto?"", ""sv"":""[Svenska]Onko rakennuksessa irtaimistovarasto?"", ""en"":""[English]Onko rakennuksessa irtaimistovarasto?""}",,True,"{""fi"":"""", ""se"":"""", ""en"":"""" }"
29,302,Pukuhuone,"{""fi"":""Onko rakennuksessa pukuhuone?"", ""sv"":""[Svenska]Onko rakennuksessa pukuhuone?"", ""en"":""[English]Onko rakennuksessa pukuhuone?""}",,True,"{""fi"":"""", ""se"":"""", ""en"":"""" }"
30,303,"WC, esteetön","{""fi"":""Onko rakennuksessa wc, esteetön?"", ""sv"":""[Svenska]Onko rakennuksessa wc, esteetön?"", ""en"":""[English]Onko rakennuksessa wc, esteetön?""}",1.0,True,"{""fi"":"""", ""se"":"""", ""en"":"""" }"
31,304,Apuvälinevarasto,"{""fi"":""Onko rakennuksessa apuvälinevarasto?"", ""sv"":""[Svenska]Onko rakennuksessa apuvälinevarasto?"", ""en"":""[English]Onko rakennuksessa apuvälinevarasto?""}",,True,"{""fi"":"""", ""se"":"""", ""en"":"""" }"
32,305,Kuivaushuone,"{""fi"":""Onko rakennuksessa kuivaushuone?"", ""sv"":""[Svenska]Onko rakennuksessa kuivaushuone?"", ""en"":""[English]Onko rakennuksessa kuivaushuone?""}",,True,"{""fi"":"""", ""se"":"""", ""en"":"""" }"
33,306,Pesulatila,"{""fi"":""Onko rakennuksessa pesulatila?"", ""sv"":""[Svenska]Onko rakennuksessa pesulatila?"", ""en"":""[English]Onko rakennuksessa pesulatila?""}",,True,"{""fi"":"""", ""se"":"""", ""en"":"""" }"
34,307,"WC,esteetön","{""fi"":""Onko rakennuksessa wc,esteetön?"", ""sv"":""[Svenska]Onko rakennuksessa wc,esteetön?"", ""en"":""[English]Onko rakennuksessa wc,esteetön?""}",,True,"{""fi"":"""", ""se"":"""", ""en"":"""" }"
35,308,Kerhohuone,"{""fi"":""Onko rakennuksessa kerhohuone?"", ""sv"":""[Svenska]Onko rakennuksessa kerhohuone?"", ""en"":""[English]Onko rakennuksessa kerhohuone?""}",,True,"{""fi"":"""", ""se"":"""", ""en"":"""" }"
36,309,Oleskelutila,"{""fi"":""Onko rakennuksessa oleskelutila?"", ""sv"":""[Svenska]Onko rakennuksessa oleskelutila?"", ""en"":""[English]Onko rakennuksessa oleskelutila?""}",,True,"{""fi"":"""", ""se"":"""", ""en"":"""" }"
37,310,Aula,"{""fi"":""Onko rakennuksessa aula?"", ""sv"":""[Svenska]Onko rakennuksessa aula?"", ""en"":""[English]Onko rakennuksessa aula?""}",,True,"{""fi"":"""", ""se"":"""", ""en"":"""" }"
38,4,Kiinteistö,"{""fi"":""Onko rakennuksessa kiinteistö?"", ""sv"":""[Svenska]Onko rakennuksessa kiinteistö?"", ""en"":""[English]Onko rakennuksessa kiinteistö?""}",,True,"{""fi"":"""", ""se"":"""", ""en"":"""" }"
