attribute_id,attribute_name,attribute_question,group_id,active
705,Neuvottelualue,"{'fi':'Onko rakennuksessa neuvottelualue?','sv':'samma på svenska','en':'in enklish'}",,True,"{'fi':'','sv':'','en':''}"
706,Neuvottelutila,"{'fi':'Onko rakennuksessa neuvottelutila?','sv':'samma på svenska','en':'in enklish'}",,True,"{'fi':'','sv':'','en':''}"
707,Toimistoaputila,"{'fi':'Onko rakennuksessa toimistoaputila?','sv':'samma på svenska','en':'in enklish'}",,True,"{'fi':'','sv':'','en':''}"
708,Valvomo,"{'fi':'Onko rakennuksessa valvomo?','sv':'samma på svenska','en':'in enklish'}",,True,"{'fi':'','sv':'','en':''}"
709,Postinjakelu,"{'fi':'Onko rakennuksessa postinjakelu','sv':'samma på svenska','en':'in enklish'}",,False,"{'fi':'','sv':'','en':''}"
710,Arkistotila,"{'fi':'Onko rakennuksessa arkistotila?','sv':'samma på svenska','en':'in enklish'}",,True,"{'fi':'','sv':'','en':''}"
711,Palveltila,"{'fi':'Onko rakennuksessa palveltila','sv':'samma på svenska','en':'in enklish'}",,False,"{'fi':'','sv':'','en':''}"
712,Postijakelu,"{'fi':'Onko rakennuksessa postijakelu','sv':'samma på svenska','en':'in enklish'}",,False,"{'fi':'','sv':'','en':''}"
8,Henkilöstö,"{'fi':'Onko rakennuksessa henkilöstö?','sv':'samma på svenska','en':'in enklish'}",,True,"{'fi':'','sv':'','en':''}"
801,Taukotila,"{'fi':'Onko rakennuksessa taukotila?','sv':'samma på svenska','en':'in enklish'}",,True,"{'fi':'','sv':'','en':''}"
802,Säilytyslokerot,"{'fi':'Onko rakennuksessa säilytyslokerot?','sv':'samma på svenska','en':'in enklish'}",,True,"{'fi':'','sv':'','en':''}"
803,Kiinteistötoiminta,"{'fi':'Onko rakennuksessa kiinteistötoiminta?','sv':'samma på svenska','en':'in enklish'}",,True,"{'fi':'','sv':'','en':''}"
9,Laitospalvelu,"{'fi':'Onko rakennuksessa laitospalvelu?','sv':'samma på svenska','en':'in enklish'}",,True,"{'fi':'','sv':'','en':''}"
901,Huoltohuone,"{'fi':'Onko rakennuksessa huoltohuone?','sv':'samma på svenska','en':'in enklish'}",,True,"{'fi':'','sv':'','en':''}"
902,Jakelukeittiö,"{'fi':'Onko rakennuksessa jakelukeittiö?','sv':'samma på svenska','en':'in enklish'}",,True,"{'fi':'Jakelukeittiö on huonetila, jossa annostellaan muualta kuljetettuja kuumana tai kylminä säilytettäviä ruokia','sv':'','en':''}"
903,Lääkehuone,"{'fi':'Onko rakennuksessa lääkehuone?','sv':'samma på svenska','en':'in enklish'}",,True,"{'fi':'','sv':'','en':''}"
904,Tavaran vastaanotto,"{'fi':'Onko rakennuksessa tavaran vastaanotto?','sv':'samma på svenska','en':'in enklish'}",,True,"{'fi':'','sv':'','en':''}"
905,Varastosyvennys,"{'fi':'Onko rakennuksessa varastosyvennys?','sv':'samma på svenska','en':'in enklish'}",,True,"{'fi':'','sv':'','en':''}"
906,Pesula,"{'fi':'Onko rakennuksessa pesula?','sv':'samma på svenska','en':'in enklish'}",,True,"{'fi':'','sv':'','en':''}"
10,Asunto,"{'fi':'Onko rakennuksessa asunto','sv':'samma på svenska','en':'in enklish'}",,False,"{'fi':'','sv':'','en':''}"
1001,Tupa,"{'fi':'Onko rakennuksessa tupa?','sv':'samma på svenska','en':'in enklish'}",,True,"{'fi':'','sv':'','en':''}"
11,Varastointi,"{'fi':'Onko rakennuksessa varastointi?','sv':'samma på svenska','en':'in enklish'}",,True,"{'fi':'','sv':'','en':''}"
1101,"Varastohuone, lämmittämätön","{'fi':'Onko rakennuksessa varastohuone, lämmittämätön?','sv':'samma på svenska','en':'in enklish'}",,True,"{'fi':'','sv':'','en':''}"
1102,Kylmävarasto,"{'fi':'Onko rakennuksessa kylmävarasto?','sv':'samma på svenska','en':'in enklish'}",,True,"{'fi':'','sv':'','en':''}"
1103,Pakastevarasto,"{'fi':'Onko rakennuksessa pakastevarasto?','sv':'samma på svenska','en':'in enklish'}",,True,"{'fi':'','sv':'','en':''}"
