attribute_id,attribute_name,attribute_question,group_id,active
1809,Kirkkosali,Onko rakennuksessa kirkkosali?,0,1
1810,Sakaristo,Onko rakennuksessa sakaristo?,0,1
1811,Lähivarasto,Onko rakennuksessa lähivarasto?,0,1
19,Virkistys,Onko rakennuksessa virkistys?,0,1
1901,Kuntosali,Onko rakennuksessa kuntosali?,0,1
20,Liikenne,Onko rakennuksessa liikenne?,0,1
2001,Kalustohalli,Onko rakennuksessa kalustohalli?,0,1
2002,Lastaustila,Onko rakennuksessa lastaustila?,0,1
2003,Materiaalin käsittely,Onko rakennuksessa materiaalin käsittely?,0,1
2004,Palvelukeittiö,Onko rakennuksessa palvelukeittiö?,0,1
2005,Tarkastusalue,Onko rakennuksessa tarkastusalue?,0,1
2006,Tarkastuspiste,Onko rakennuksessa tarkastuspiste?,0,1
2007,Tarkastustila,Onko rakennuksessa tarkastustila?,0,1
2008,Eläintila,Onko rakennuksessa eläintila?,0,1
2009,Tupakointitila,Onko rakennuksessa tupakointitila?,0,1
21,Auto- ja kalustosäilytys,Onko rakennuksessa auto- ja kalustosäilytys?,0,1
2101,Ajoramppi,Onko rakennuksessa ajoramppi?,0,1
2102,Ajoväylä,Onko rakennuksessa ajoväylä?,0,1
2103,Pysäköintihalli,Onko rakennuksessa pysäköintihalli?,0,1
2104,Autokatos,Onko rakennuksessa autokatos?,0,1
22,Auto- ja kalustohuolto,Onko rakennuksessa auto- ja kalustohuolto?,0,1
2201,Huoltohalli,Onko rakennuksessa huoltohalli?,0,1
2202,Työnjohtotila,Onko rakennuksessa työnjohtotila?,0,1
2203,Verstas,Onko rakennuksessa verstas?,0,1
2204,Huoltohallli,Onko rakennuksessa huoltohallli?,0,1
23,Tuotanto,Onko rakennuksessa tuotanto?,0,1
2301,Palvelinsali,Onko rakennuksessa palvelinsali?,0,1
2302,Sulkutilat,Onko rakennuksessa sulkutilat?,0,1
2303,Tuotantotila,Onko rakennuksessa tuotantotila?,0,1
2304,Allastila,Onko rakennuksessa allastila?,0,1
2305,Prosessihalli,Onko rakennuksessa prosessihalli?,0,1
24,Terveys,Onko rakennuksessa terveys?,0,1
2401,Itsehoitopiste,Onko rakennuksessa itsehoitopiste?,0,1
2402,Lepohuone,Onko rakennuksessa lepohuone?,0,1
2403,Toimenpidehuone,Onko rakennuksessa toimenpidehuone?,0,1
2404,Toimistotyöpiste,Onko rakennuksessa toimistotyöpiste?,0,1
2405,Vastaanottohuone,Onko rakennuksessa vastaanottohuone?,0,1
25,Sairaanhoito,Onko rakennuksessa sairaanhoito?,0,1
2501,Heräämö,Onko rakennuksessa heräämö?,0,1
2502,Lastenhoitohuone,Onko rakennuksessa lastenhoitohuone?,0,1
2503,Leikkaussali,Onko rakennuksessa leikkaussali?,0,1
2504,Liikuntatila,Onko rakennuksessa liikuntatila?,0,1
2505,"Pesuhuone, esteetön","Onko rakennuksessa pesuhuone, esteetön?",0,1
2506,Pesupiste,Onko rakennuksessa pesupiste?,0,1
2507,Potilashuone,Onko rakennuksessa potilashuone?,0,1
2508,"Pukuhuone, esteetön","Onko rakennuksessa pukuhuone, esteetön?",0,1
2509,Ryhmätila,Onko rakennuksessa ryhmätila?,0,1
2510,Välinehuoltotila,Onko rakennuksessa välinehuoltotila?,0,1
2511,Työtila,Onko rakennuksessa työtila?,0,1
26,Kuvantaminen,Onko rakennuksessa kuvantaminen?,0,1
2601,Hätäsuihku,Onko rakennuksessa hätäsuihku?,0,1
2602,Laboratoriotyöpiste,Onko rakennuksessa laboratoriotyöpiste?,0,1
2603,Tutkimushuone,Onko rakennuksessa tutkimushuone?,0,1
27,Osastohoito,Onko rakennuksessa osastohoito?,0,1
28,Laboratorio,Onko rakennuksessa laboratorio?,0,1
2801,Laboratoriotila,Onko rakennuksessa laboratoriotila?,0,1
2802,Tutkimuslaitetila,Onko rakennuksessa tutkimuslaitetila?,0,1
29,Harrastus,Onko rakennuksessa harrastus?,0,1
2901,Harrastetila,Onko rakennuksessa harrastetila?,0,1
2902,Kirjastotila,Onko rakennuksessa kirjastotila?,0,1
30,Liikunta,Onko rakennuksessa liikunta?,0,1
3001,Liikuntasali,Onko rakennuksessa liikuntasali?,0,1
3002,Jäähalli,Onko rakennuksessa jäähalli?,0,1
3003,Katsomo,Onko rakennuksessa katsomo?,0,1
3004,Aitio,Onko rakennuksessa aitio?,0,1
31,Muut palvelut,Onko rakennuksessa muut palvelut?,0,0
3101,"Löylyhuone, esteetön","Onko rakennuksessa löylyhuone, esteetön?",0,1
32,Vankila-asuminen,Onko rakennuksessa vankila-asuminen?,0,1
3201,Neuvotteluhuone,Onko rakennuksessa neuvotteluhuone?,0,1
3202,Selli,Onko rakennuksessa selli?,0,1
33,Turvallisuus,Onko rakennuksessa turvallisuus?,0,1
3301,Märkäeteinen,Onko rakennuksessa märkäeteinen?,0,1
3302,Vaatehuoltotila,Onko rakennuksessa vaatehuoltotila?,0,1
3303,"WC, näyte","Onko rakennuksessa wc, näyte?",1,1
3304,Väestönsuoja,Onko rakennuksessa väestönsuoja?,0,1
34,Kirjasto,Onko rakennuksessa kirjasto?,0,1
3401,Kokoelma-alue,Onko rakennuksessa kokoelma-alue?,0,1
3402,Lukualue,Onko rakennuksessa lukualue?,0,1
3403,Lukusali,Onko rakennuksessa lukusali?,0,1
3404,Näyttelytila,Onko rakennuksessa näyttelytila?,0,1
35,Näyttely,Onko rakennuksessa näyttely?,0,1
3501,Näyttelyhalli,Onko rakennuksessa näyttelyhalli?,0,1
36,Sisäuinti,Onko rakennuksessa sisäuinti?,0,1
3601,Uima-allasalue,Onko rakennuksessa uima-allasalue?,0,1
37,Sisäliikunta,Onko rakennuksessa sisäliikunta?,0,1
3701,Urheiluhalli,Onko rakennuksessa urheiluhalli?,0,1
38,Päivähoito,Onko rakennuksessa päivähoito?,0,1
3801,Lepo- ja leikkihuone,Onko rakennuksessa lepo- ja leikkihuone?,0,1
39,Oppiminen,Onko rakennuksessa oppiminen?,0,1
3901,Kotiluokka,Onko rakennuksessa kotiluokka?,0,1
3902,Pintakäsittelytila,Onko rakennuksessa pintakäsittelytila?,0,1
3903,Puutyötila,Onko rakennuksessa puutyötila?,0,1
3904,Tekstiilityö- ja musiikkiluokka,Onko rakennuksessa tekstiilityö- ja musiikkiluokka?,0,1
3905,Tulityötila,Onko rakennuksessa tulityötila?,0,1
3906,Ulkoiluvälinevarasto,Onko rakennuksessa ulkoiluvälinevarasto?,0,1
3907,Lukutila,Onko rakennuksessa lukutila?,0,1
3908,Studiotila,Onko rakennuksessa studiotila?,0,1
3909,Yleisopetustila,Onko rakennuksessa yleisopetustila?,0,1
3910,Auditorio,Onko rakennuksessa auditorio?,0,1
40,Kokoelma,Onko rakennuksessa kokoelma?,0,0
41,Eläinten kasvatus,Onko rakennuksessa eläinten kasvatus?,0,1
4101,Eläinsuoja,Onko rakennuksessa eläinsuoja?,0,1
4102,Pesutila,Onko rakennuksessa pesutila?,0,1
